issue,word,pages,count
66,accepting,7,1
66,accompany,1,1
66,accomplished,5,1
66,accordingly,9,1
66,acquired,8,1
66,acrobatic,7,1
66,added,7,1
66,additional,"4,6",2
66,addressed,9,1
66,admiration,3,1
66,admire,7,1
66,admired,8,1
66,advance,1,1
66,adventurous,7,1
66,advertising,"1,3",2
66,afield,"1,4",2
66,aftermath,5,1
66,aileen,10,1
66,alice,3,1
66,allen,2,1
66,allenburys,3,1
66,allowance,4,1
66,alphabet,3,1
66,amateur,7,1
66,amazingly,9,1
66,american,9,4
66,amusing,3,1
66,andrew,"3,9",3
66,anecdotal,10,1
66,antarctic,4,1
66,antarctica,1,1
66,antecedents,3,1
66,anthropomorphic,4,1
66,antipodes,8,1
66,anyone,5,1
66,anything,8,1
66,apologises,4,1
66,appeal,6,1
66,appearing,5,1
66,appreciated,4,1
66,approximately,8,1
66,armstrong,9,2
66,arrangement,7,1
66,artefacts,9,1
66,article,7,1
66,articles,1,1
66,artwork,7,1
66,ascot,10,1
66,asked,10,2
66,asking,7,1
66,aspects,9,1
66,assemblies,5,1
66,assembling,"3,4",2
66,association,9,1
66,atlantic,9,1
66,attended,4,1
66,attending,9,2
66,attic,"7,9",3
66,attractive,"1,4",2
66,august,4,1
66,author,"6,7",2
66,autumn,3,1
66,avoid,1,1
66,award,5,1
66,babies,3,1
66,background,5,1
66,barrie,3,1
66,barry,9,1
66,based,7,1
66,basics,9,1
66,basingstoke,6,1
66,battling,3,1
66,beffa,10,1
66,beginning,5,1
66,belvedere,10,1
66,benepe,9,1
66,benevolent,1,1
66,besides,7,1
66,bessie,10,1
66,bishop,1,1
66,bishops,3,1
66,blades,9,1
66,blister,8,2
66,blisters,8,1
66,bloch,10,1
66,blocks,3,1
66,books,5,1
66,boost,1,1
66,boots,4,1
66,bought,7,1
66,boulevard,8,1
66,boxes,"7,8,9",3
66,brenda,3,1
66,brian,"4,7,10",4
66,british,"4,5,6,7,9",7
66,britishjigsawpuzzle,5,1
66,brought,3,7
66,bruce,10,1
66,buildings,8,1
66,buyer,9,1
66,cairn,9,1
66,called,"5,8",2
66,camberley,3,1
66,cannot,5,1
66,cappitello,9,1
66,captions,6,1
66,cardboard,"2,3,4,8",5
66,career,6,1
66,carefully,7,1
66,carpenter,4,2
66,carried,6,1
66,cartoon,3,1
66,carved,9,1
66,cases,9,1
66,catalogue,8,1
66,catering,"1,4",2
66,cathedral,6,1
66,ceilings,9,1
66,central,"1,5",2
66,century,3,1
66,certainly,7,1
66,chagrin,10,1
66,challenge,2,1
66,challenging,"6,7",2
66,chapters,6,1
66,checker,6,1
66,childhood,3,1
66,children,"3,4,7",6
66,choosing,6,1
66,chris,4,1
66,christa,10,1
66,christchurch,"7,8",5
66,chromolithographed,3,1
66,cinemas,8,1
66,cirencester,1,1
66,clarendon,5,1
66,cleaning,4,1
66,clerk,7,1
66,clever,10,1
66,closer,1,1
66,closure,3,1
66,clothes,3,1
66,clown,7,1
66,collecting,4,1
66,collection,"3,4,8,9,10",9
66,collectors,9,1
66,combination,3,1
66,comes,10,1
66,coming,1,1
66,comments,5,2
66,commercial,7,1
66,commission,7,1
66,commissions,7,1
66,companion,3,1
66,completed,"3,5",2
66,completely,"4,5",3
66,compromise,6,1
66,computer,6,1
66,concerning,1,1
66,conference,8,1
66,confirmed,4,1
66,confraternity,1,1
66,considerable,7,1
66,considered,9,1
66,constantly,6,1
66,constructing,7,1
66,constructional,7,1
66,constructions,7,1
66,contained,"8,9",2
66,containing,9,1
66,contains,4,1
66,contents,8,1
66,contributed,1,1
66,contribution,1,1
66,contributions,1,1
66,conventional,7,2
66,conversations,8,1
66,cooper,"5,6",2
66,coopers,10,1
66,copies,"6,7",2
66,coronation,3,1
66,corporate,8,1
66,corsair,8,1
66,costing,9,1
66,cottage,7,1
66,covered,4,1
66,covering,5,1
