issue,word,pages,count
70,ipswich,3,2
78,ipswich,1,1
66,island,8,1
66,islands,5,1
70,islands,4,1
61,islington,5,1
66,italian,9,1
78,itemised,6,1
78,itirt,8,1
61,james,5,2
66,james,7,3
70,james,"5,9",2
74,james,10,1
78,james,6,2
70,january,5,2
74,january,9,1
66,jenny,3,2
61,jethard,4,1
61,jewellery,3,1
78,johanne,7,1
74,johnson,10,2
61,jones,"2,3",3
74,jonty,5,1
78,joseph,6,1
74,josephine,6,1
74,joyce,"3,4",2
66,jumbo,5,1
66,junction,1,1
70,junction,1,1
78,junction,3,1
78,jungle,"5,7",2
74,karachi,10,1
74,katey,"3,4",2
61,kathleen,6,2
78,kayaks,10,1
66,keith,"3,4",2
70,keith,"3,4,5,9",6
74,kemon,3,1
78,kernon,6,1
70,kersey,3,1
61,kershaw,"2,3,4",4
70,kershaw,5,2
74,kershaw,3,1
66,keynes,4,1
74,keynes,7,1
78,keynote,9,1
74,kindness,6,1
78,kipling,5,1
66,kitty,8,1
78,labrador,"8,9,10",24
66,lambeth,3,1
70,lambeth,"4,5,9",4
66,landmark,9,1
61,larger,7,1
78,largest,"7,8",2
74,laurel,4,1
78,lauren,4,1
78,laverty,10,1
70,lawson,4,1
74,layout,7,1
74,lecturer,3,1
78,legged,6,1
66,leicester,"1,4",2
74,leics,5,1
70,lengthy,5,1
70,lesson,4,1
78,lettering,10,1
70,levine,3,1
78,levine,5,1
66,lewis,10,1
61,libraries,6,1
74,libraries,6,1
61,library,6,4
66,library,"5,6",3
70,library,10,6
74,library,"3,6",2
78,likeness,6,1
61,lincoln,3,1
61,linda,5,1
66,linda,8,1
70,linda,"5,8,9",7
74,linda,2,8
78,linda,"4,6",4
74,lionel,8,1
78,literally,9,1
78,literary,9,1
74,literature,3,1
70,lithograph,10,1
61,litter,4,1
74,liverpool,3,1
70,lloyd,8,1
78,locally,3,1
61,locations,6,1
74,logan,7,1
70,longer,10,1
74,longer,6,1
70,lousada,10,1
78,lovegrove,4,1
66,lovett,10,1
66,ltchington,1,1
78,lucie,6,1
78,luckily,5,2
74,lutterworth,9,1
61,lymington,10,2
78,macaws,7,1
70,machinery,7,1
74,macpherson,10,2
74,macrobertson,10,1
70,madame,8,2
74,maddock,7,1
78,maddock,10,1
74,magic,10,1
66,maidens,3,1
70,maids,6,3
66,mainland,4,1
61,maker,"5,6",2
70,maker,9,1
74,maker,10,2
78,maker,5,1
61,makers,10,3
66,makers,7,3
78,makers,5,1
66,malcolm,6,3
78,malling,4,1
66,mammoth,4,1
74,mammoth,10,1
70,management,7,1
78,management,8,1
78,maniactuvrld,8,1
74,manor,9,1
66,mansion,9,1
61,manufacturer,"5,9",2
70,manufacturer,7,1
74,manufacturer,10,1
61,manufacturers,"5,10",4
66,manufacturers,"4,6",2
70,manufacturers,6,1
70,margaret,"5,6",4
78,margaret,5,1
78,marginally,7,1
70,marie,8,1
74,marie,10,1
61,marjorie,10,1
78,marlborough,3,1
78,maroon,10,1
66,martin,4,1
70,martin,5,1
74,martin,"3,4,9",5
61,martland,4,1
66,martland,8,1
74,martland,3,2
66,marty,10,1
78,marvellous,1,1
66,mathematics,8,1
74,maureen,3,2
74,mayhem,4,1
74,mayors,9,1
74,mechanic,8,1
74,mechanical,10,1
74,melbourne,10,2
70,meljing,5,1
61,melling,"2,3,4,10",5
66,melling,"1,3,9",3
70,melling,"1,3,6",3
74,melling,"1,3,7",5
78,melling,1,1
61,memorabilia,9,1
61,mercy,2,1
70,meredith,2,1
78,meredith,7,1
78,merge,7,1
78,mermaid,2,1
78,merrow,3,1
70,metal,6,1
74,metaphorically,5,1
66,meteorologist,4,1
74,meteorologist,3,1
61,method,8,1
61,michael,10,1
66,michael,10,1
74,michael,"6,7,9",5
78,michele,5,1
61,middlestorb,10,1
78,middlestorb,3,2
74,midsummer,8,1
78,mifflin,10,1
74,mildenhall,10,1
74,millionaire,10,1
66,milton,4,1
74,milton,7,1
70,minimum,4,1
70,misrepresent,8,1
61,mission,5,1
78,mission,"8,9,10",7
61,missionary,5,1
78,missive,6,1
70,mitchell,5,1
74,mitchell,10,1
78,mixture,2,1
70,mocha,10,1
74,mollison,10,1
66,monogram,9,1
70,mostly,7,1
78,mostly,7,2
61,motif,5,2
74,motor,4,1
78,motor,2,1
78,motors,2,1
61,motto,5,1
66,motto,3,1
74,moveable,8,1
70,movement,10,1
61,murphy,10,2
66,museum,"7,8",2
70,museum,"5,9,10",5
74,museum,2,1
78,museum,6,1
78,myselffi,7,1
78,nadir,10,1
70,napoleon,10,1
61,naval,"2,3",2
78,nazis,8,1
78,needless,6,1
66,negrini,10,1
61,netherlands,"2,3",3
66,netherlands,1,1
70,netherlands,3,1
78,netherlands,3,1
74,newark,5,1
66,newent,4,1
78,newfoundland,8,1
70,newhouse,9,1
61,newspaper,6,1
70,newspapers,10,1
78,nicholas,7,2
70,nicholson,3,1
78,nicholson,5,1
74,nimes,5,1
78,nishing,7,1
70,norfolk,5,2
74,norfolk,9,1
78,norfolk,3,1
74,norgate,"3,9",3
74,northerners,4,1
74,norway,"2,10",2
70,norwich,5,3
74,nostalgia,6,1
78,nostalgiag,4,1
74,notoriously,2,1
66,novelty,7,1
66,november,1,2
70,november,5,1
74,november,1,1
78,november,"1,3",3
78,novus,7,1
66,numerous,7,1
78,numerous,8,1
70,october,1,1
74,october,"2,10",2
78,october,1,1
78,octogenarian,7,1
70,officers,4,1
74,officers,9,1
78,orbis,7,2
66,organisation,4,1
70,organisation,5,1
78,originally,2,1
66,ornamentation,9,1
78,orphanage,9,1
78,orphanages,8,1
78,ortelius,7,1
74,ourney,7,1
78,outing,3,1
74,outings,6,1
66,outlet,8,1
78,outlet,10,1
66,outlets,8,1
78,outlets,9,1
61,outline,8,3
74,outline,4,1
61,outlines,8,1
70,outskirts,3,1
70,outstanding,4,1
74,overridden,5,1
66,overton,1,1
70,overton,1,1
74,overton,1,1
78,overton,1,1
78,oxfam,7,1
66,packet,4,1
70,packet,6,1
70,packets,6,1
78,packets,7,1
78,pagey,6,2
61,palace,6,1
66,parade,1,2
70,paraffin,7,1
74,parker,6,1
66,parley,9,4
74,parliament,7,1
66,parsonage,5,1
70,partly,9,1
78,passmore,6,6
70,pasteboard,8,2
61,pastime,7,1
74,pastime,"5,6",2
61,pastimes,7,1
70,patent,7,1
78,patent,"2,8",6
70,patented,7,1
78,patience,8,1
70,patron,8,1
70,patronage,10,1
70,patrons,10,1
61,paula,"2,4",3
78,paula,10,1
78,pauline,3,2
74,peacefully,2,1
61,peacock,"2,3,5",18
66,peacock,3,4
70,peacock,"3,6,9",7
74,peacock,"3,4",2
78,peacock,6,11
61,peacocks,5,2
66,pears,3,1
61,pencil,8,3
78,penguins,10,1
61,penny,"2,3,4,10",5
66,penny,"1,3,4,9",5
70,penny,"1,3,4,5,6",5
74,penny,"1,3,7",6
78,penny,1,2
78,periodic,9,1
70,periodical,10,1
78,perplexing,9,1
66,personalised,9,1
74,persons,8,1
74,perspective,8,1
66,persuasion,6,1
78,philadelphia,10,1
61,philip,10,1
70,philmar,3,1
78,photo,7,2
78,photocopies,6,1
74,photocopy,6,1
78,photocopy,6,1
74,photographic,8,3
66,photos,8,1
70,photos,6,1
66,picturesque,3,1
66,piecework,7,1
74,pigmy,7,1
70,pilgrim,9,1
78,pilsbury,4,1
70,plastona,7,1
74,players,5,1
61,plenty,10,1
78,plumridge,3,2
61,plywood,"7,8",5
78,pneumatic,6,1
78,polar,10,1
70,politicians,4,1
74,poorly,8,1
70,popularity,10,1
78,populations,8,1
74,porta,4,1
61,possession,10,1
66,possessor,7,1
74,postbag,9,1
61,postcard,7,1
66,postcard,5,1
78,postcards,6,1
66,posterity,7,1
74,posters,6,1
78,postponement,3,1
70,pottery,6,1
78,poverty,8,1
70,powell,5,2
74,predictable,4,1
74,premier,6,1
70,premises,10,1
66,prendergast,10,1
61,preparation,10,1
70,presence,5,1
70,presentation,4,1
74,presentation,4,1
74,president,2,2
61,preview,10,1
70,primitive,8,1
66,prince,10,2
70,prince,"8,10",2
74,princes,"6,9",2
78,princes,1,1
78,printer,"6,8",2
70,prise,3,1
74,privileged,2,1
78,proclaim,8,1
74,producer,"4,5",2
66,production,"3,5",2
70,production,7,1
78,production,"7,8,9",3
78,professions,6,1
61,profile,5,1
74,progressives,8,1
61,prolific,5,1
70,prolonged,5,1
74,promotion,4,1
61,promotional,10,1
66,promotional,"2,3,6",4
70,promotional,3,1
78,promotional,3,1
70,prompt,9,1
70,proof,7,1
70,proofing,7,1
66,proprietor,7,1
61,proprietors,6,1
70,prosperity,7,1
